hour_beginning,location,Pedestrians,Towards Manhattan,Towards Brooklyn,weather_summary,temperature,precipitation,lat,long,events,Location1
11/12/2017 6:00,Brooklyn Bridge,38,23,15,clear-night,30,0,40.70816397,-73.9995087,,"(40.7081639691088, -73.9995087014816)"
11/29/2017 1:00,Brooklyn Bridge,11,7,4,clear-night,48,0,40.70816397,-73.9995087,,"(40.7081639691088, -73.9995087014816)"
12/17/2017 22:00,Brooklyn Bridge,168,99,69,partly-cloudy-night,35,0,40.70816397,-73.9995087,,"(40.7081639691088, -73.9995087014816)"
11/10/2017 12:00,Brooklyn Bridge,1213,506,707,clear-day,36,0.0001,40.70816397,-73.9995087,Veterans Day observed,"(40.7081639691088, -73.9995087014816)"
1/24/2018 11:00,Brooklyn Bridge,535,298,237,partly-cloudy-day,40,0,40.70816397,-73.9995087,,"(40.7081639691088, -73.9995087014816)"
6/10/2018 19:00,Brooklyn Bridge,1027,491,536,partly-cloudy-day,64,0.0005,40.70816397,-73.9995087,,"(40.7081639691088, -73.9995087014816)"
3/16/2018 18:00,Brooklyn Bridge,912,429,483,partly-cloudy-day,36,0,40.70816397,-73.9995087,,"(40.7081639691088, -73.9995087014816)"
4/16/2018 6:00,Brooklyn Bridge,10,7,3,rain,41,0.3067,40.70816397,-73.9995087,,"(40.7081639691088, -73.9995087014816)"
3/2/2018 21:00,Brooklyn Bridge,16,9,7,partly-cloudy-night,35,0.0024,40.70816397,-73.9995087,,"(40.7081639691088, -73.9995087014816)"
12/30/2017 3:00,Brooklyn Bridge,0,0,0,clear-night,16,0,40.70816397,-73.9995087,,"(40.7081639691088, -73.9995087014816)"
10/27/2017 21:00,Brooklyn Bridge,225,99,126,clear-night,54,0,40.70816397,-73.9995087,,"(40.7081639691088, -73.9995087014816)"
11/7/2017 4:00,Brooklyn Bridge,2,1,1,clear-night,42,0,40.70816397,-73.9995087,,"(40.7081639691088, -73.9995087014816)"
10/3/2017 21:00,Brooklyn Bridge,196,102,94,clear-night,58,0,40.70816397,-73.9995087,,"(40.7081639691088, -73.9995087014816)"
12/31/2017 15:00,Brooklyn Bridge,1724,915,809,partly-cloudy-day,14,0,40.70816397,-73.9995087,New Year's Eve,"(40.7081639691088, -73.9995087014816)"
2/3/2018 21:00,Brooklyn Bridge,74,50,24,clear-night,28,0,40.70816397,-73.9995087,,"(40.7081639691088, -73.9995087014816)"
11/25/2017 2:00,Brooklyn Bridge,17,3,14,clear-night,38,0,40.70816397,-73.9995087,,"(40.7081639691088, -73.9995087014816)"
12/9/2017 9:00,Brooklyn Bridge,480,266,214,partly-cloudy-day,34,0,40.70816397,-73.9995087,,"(40.7081639691088, -73.9995087014816)"
11/13/2017 4:00,Brooklyn Bridge,9,5,4,partly-cloudy-night,41,0.0001,40.70816397,-73.9995087,,"(40.7081639691088, -73.9995087014816)"
1/26/2018 14:00,Brooklyn Bridge,966,455,511,clear-day,35,0,40.70816397,-73.9995087,,"(40.7081639691088, -73.9995087014816)"
1/18/2018 14:00,Brooklyn Bridge,714,341,373,clear-day,31,0.002,40.70816397,-73.9995087,,"(40.7081639691088, -73.9995087014816)"
12/6/2017 2:00,Brooklyn Bridge,4,0,4,partly-cloudy-night,56,0.001,40.70816397,-73.9995087,,"(40.7081639691088, -73.9995087014816)"
12/2/2017 13:00,Brooklyn Bridge,2649,1152,1497,clear-day,47,0,40.70816397,-73.9995087,,"(40.7081639691088, -73.9995087014816)"
1/11/2018 4:00,Brooklyn Bridge,2,0,2,partly-cloudy-night,37,0,40.70816397,-73.9995087,,"(40.7081639691088, -73.9995087014816)"
11/3/2017 17:00,Brooklyn Bridge,2281,1232,1049,partly-cloudy-day,72,0,40.70816397,-73.9995087,,"(40.7081639691088, -73.9995087014816)"
12/18/2017 7:00,Brooklyn Bridge,129,63,66,partly-cloudy-night,34,0.0004,40.70816397,-73.9995087,,"(40.7081639691088, -73.9995087014816)"
11/25/2017 17:00,Brooklyn Bridge,1779,667,1112,clear-night,54,0,40.70816397,-73.9995087,,"(40.7081639691088, -73.9995087014816)"
12/11/2017 14:00,Brooklyn Bridge,1674,792,882,partly-cloudy-day,40,0.0042,40.70816397,-73.9995087,,"(40.7081639691088, -73.9995087014816)"
12/27/2017 6:00,Brooklyn Bridge,61,35,26,cloudy,19,0,40.70816397,-73.9995087,,"(40.7081639691088, -73.9995087014816)"
11/28/2017 19:00,Brooklyn Bridge,361,237,124,clear-night,49,0.0005,40.70816397,-73.9995087,,"(40.7081639691088, -73.9995087014816)"
10/27/2017 5:00,Brooklyn Bridge,22,13,9,clear-night,45,0,40.70816397,-73.9995087,,"(40.7081639691088, -73.9995087014816)"
1/17/2018 20:00,Brooklyn Bridge,59,38,21,clear-night,25,0.0027,40.70816397,-73.9995087,,"(40.7081639691088, -73.9995087014816)"
