hour_beginning,location,Pedestrians,Towards Manhattan,Towards Brooklyn,weather_summary,temperature,precipitation,lat,long,events,sample,x1_dummy,x2_dummy,weather_dummy
10/19/2017 6:00,Brooklyn Bridge,111,63,48,clear-night,53,0,40.70816397,-73.9995087,,3.57E-06,0,0,1
1/21/2018 23:00,Brooklyn Bridge,33,21,12,cloudy,44,0,40.70816397,-73.9995087,,0.000149979,0,0,2
6/1/2018 22:00,Brooklyn Bridge,428,196,232,clear-night,71,0.0002,40.70816397,-73.9995087,,0.000372857,0,0,1
3/2/2018 14:00,Brooklyn Bridge,39,24,15,rain,36,0.0655,40.70816397,-73.9995087,,0.001001843,0,0,3
2/1/2018 22:00,Brooklyn Bridge,72,46,26,cloudy,39,0.0001,40.70816397,-73.9995087,,0.001029279,0,0,2
7/9/2018 7:00,Brooklyn Bridge,265,93,172,clear-day,66,0,40.70816397,-73.9995087,,0.001135468,0,0,4
2/7/2018 23:00,Brooklyn Bridge,31,25,6,partly-cloudy-night,36,0.0037,40.70816397,-73.9995087,,0.001253563,0,0,5
12/17/2017 0:00,Brooklyn Bridge,123,114,9,partly-cloudy-night,34,0.0001,40.70816397,-73.9995087,,0.001288296,0,0,5
10/30/2017 15:00,Brooklyn Bridge,2274,1222,1052,partly-cloudy-day,55,0.0002,40.70816397,-73.9995087,,0.001530149,1,1,6
5/29/2018 7:00,Brooklyn Bridge,183,90,93,partly-cloudy-day,65,0.0002,40.70816397,-73.9995087,,0.00161729,0,0,6
3/27/2018 8:00,Brooklyn Bridge,289,95,194,clear-day,34,0,40.70816397,-73.9995087,,0.001626699,0,0,4
5/3/2018 4:00,Brooklyn Bridge,7,2,5,clear-night,69,0,40.70816397,-73.9995087,,0.001652739,0,0,1
1/14/2018 1:00,Brooklyn Bridge,4,2,2,clear-night,17,0,40.70816397,-73.9995087,,0.001944666,0,0,1
7/31/2018 8:00,Brooklyn Bridge,369,124,245,partly-cloudy-day,72,0,40.70816397,-73.9995087,,0.002059071,0,0,6
5/12/2018 6:00,Brooklyn Bridge,28,14,14,rain,54,0.1353,40.70816397,-73.9995087,,0.002084606,0,0,3
4/30/2018 21:00,Brooklyn Bridge,188,96,92,partly-cloudy-night,48,0.0004,40.70816397,-73.9995087,,0.002330518,0,0,5
10/6/2017 17:00,Brooklyn Bridge,2124,1188,936,clear-day,77,0,40.70816397,-73.9995087,,0.002534932,1,1,4
6/22/2018 3:00,Brooklyn Bridge,11,8,3,partly-cloudy-night,68,0,40.70816397,-73.9995087,,0.002573685,0,0,5
10/11/2017 5:00,Brooklyn Bridge,37,24,13,clear-night,63,0,40.70816397,-73.9995087,,0.002618124,0,0,1
5/6/2018 7:00,Brooklyn Bridge,220,59,161,partly-cloudy-day,59,0.0038,40.70816397,-73.9995087,,0.002725239,0,0,6
7/9/2018 19:00,Brooklyn Bridge,1638,923,715,clear-day,80,0,40.70816397,-73.9995087,,0.002885761,1,1,4
11/5/2017 0:00,Brooklyn Bridge,91,49,42,partly-cloudy-night,53,0,40.70816397,-73.9995087,Daylight Saving Time ends,0.002975761,0,0,5
5/24/2018 20:00,Brooklyn Bridge,1456,546,910,clear-day,74,0,40.70816397,-73.9995087,,0.003317399,1,1,4
11/7/2017 14:00,Brooklyn Bridge,1580,760,820,partly-cloudy-day,47,0.0005,40.70816397,-73.9995087,,0.00336345,1,1,6
4/28/2018 4:00,Brooklyn Bridge,7,4,3,partly-cloudy-night,50,0,40.70816397,-73.9995087,,0.003475467,0,0,5
3/28/2018 12:00,Brooklyn Bridge,1531,700,831,partly-cloudy-day,44,0,40.70816397,-73.9995087,,0.003697488,1,1,6
2/19/2018 12:00,Brooklyn Bridge,1518,696,822,partly-cloudy-day,45,0.0012,40.70816397,-73.9995087,Presidents' Day (regional holiday),0.003789729,1,1,6
4/10/2018 13:00,Brooklyn Bridge,868,391,477,partly-cloudy-day,49,0.0066,40.70816397,-73.9995087,,0.004011659,1,1,6
